date,arrivals,year,month,country,month_sin,month_cos,time_index,is_covid,is_spring_trek,is_autumn_trek,is_monsoon,lag_1,lag_2,lag_3,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6
2006-06-01,26210.0,2006,6,Total,0.49999999999999994,-0.8660254037844387,137,0,0,0,1,22870.0,21983.0,36873.0,22608.0,27242.0,8352.473465985946,29065.5,6980.283969868206
2006-07-01,25183.0,2006,7,Total,1.2246467991473532e-16,-1.0,138,0,0,0,1,26210.0,22870.0,21983.0,23996.0,23687.666666666668,2228.97203511675,27072.166666666668,5385.972796688223
2006-08-01,33150.0,2006,8,Total,-0.4999999999999997,-0.8660254037844388,139,0,0,0,1,25183.0,26210.0,22870.0,36910.0,24754.333333333332,1710.7648387000877,26474.5,5358.917605263105
2006-09-01,33362.0,2006,9,Total,-0.8660254037844384,-0.5000000000000004,140,0,0,1,0,33150.0,25183.0,26210.0,36066.0,28181.0,4333.809294373636,27711.5,5973.508407962521
2006-10-01,49670.0,2006,10,Total,-1.0,-1.8369701987210297e-16,141,0,0,1,0,33362.0,33150.0,25183.0,51498.0,30565.0,4662.153901363551,27126.333333333332,4987.074519862878
2006-11-01,44119.0,2006,11,Total,-0.8660254037844386,0.5000000000000001,142,0,0,1,0,49670.0,33362.0,33150.0,41505.0,38727.333333333336,9477.220126879663,31740.833333333332,9781.16484712664
2006-12-01,36009.0,2006,12,Total,-0.5000000000000004,0.8660254037844384,143,0,0,0,0,44119.0,49670.0,33362.0,38170.0,42383.666666666664,8291.335980005459,35282.333333333336,9773.739523164415
2007-01-01,33192.0,2007,1,Total,0.0,1.0,144,0,0,0,0,36009.0,44119.0,49670.0,28769.0,43266.0,6870.330195849381,36915.5,8716.046506300872
2007-02-01,39934.0,2007,2,Total,0.49999999999999994,0.8660254037844387,145,0,0,0,0,33192.0,36009.0,44119.0,25728.0,37773.333333333336,5673.13725669783,38250.333333333336,7005.277286922083
2007-03-01,54722.0,2007,3,Total,0.8660254037844386,0.5000000000000001,146,0,1,0,0,39934.0,33192.0,36009.0,36873.0,36378.333333333336,3386.1403298346822,39381.0,6550.1212202523275
2007-04-01,40942.0,2007,4,Total,1.0,6.123233995736766e-17,147,0,1,0,0,54722.0,39934.0,33192.0,21983.0,42616.0,11012.723005687547,42941.0,8217.016003391995
2007-05-01,35854.0,2007,5,Total,0.8660254037844387,-0.4999999999999998,148,0,1,0,0,40942.0,54722.0,39934.0,22870.0,45199.333333333336,8262.257641427865,41486.333333333336,7531.493734091976
2007-06-01,31316.0,2007,6,Total,0.49999999999999994,-0.8660254037844387,149,0,0,0,1,35854.0,40942.0,54722.0,26210.0,43839.333333333336,9761.98040017153,40108.833333333336,7707.45349429152
2007-07-01,35437.0,2007,7,Total,1.2246467991473532e-16,-1.0,150,0,0,0,1,31316.0,35854.0,40942.0,25183.0,36037.333333333336,4815.618063481866,39326.666666666664,8412.595001940037
2007-08-01,44683.0,2007,8,Total,-0.4999999999999997,-0.8660254037844388,151,0,0,0,1,35437.0,31316.0,35854.0,33150.0,34202.333333333336,2508.318626756333,39700.833333333336,8130.364577721378
2007-09-01,45552.0,2007,9,Total,-0.8660254037844384,-0.5000000000000004,152,0,0,1,0,44683.0,35437.0,31316.0,33362.0,37145.333333333336,6845.288476998823,40492.333333333336,8384.782946902476
2007-10-01,70644.0,2007,10,Total,-1.0,-1.8369701987210297e-16,153,0,0,1,0,45552.0,44683.0,35437.0,49670.0,41890.666666666664,5605.903168387144,38964.0,5667.890648204126
2007-11-01,52273.0,2007,11,Total,-0.8660254037844386,0.5000000000000001,154,0,0,1,0,70644.0,45552.0,44683.0,44119.0,53626.333333333336,14744.135252137829,43914.333333333336,14235.870449911621
2007-12-01,42156.0,2007,12,Total,-0.5000000000000004,0.8660254037844384,155,0,0,0,0,52273.0,70644.0,45552.0,36009.0,56156.333333333336,12988.930838730857,46650.833333333336,13951.829835783803
2008-01-01,36913.0,2008,1,Total,0.0,1.0,156,0,0,0,0,42156.0,52273.0,70644.0,33192.0,55024.333333333336,14441.91512000169,48457.5,12155.08062910323
2008-02-01,46675.0,2008,2,Total,0.49999999999999994,0.8660254037844387,157,0,0,0,0,36913.0,42156.0,52273.0,39934.0,43780.666666666664,7807.82020370174,48703.5,11849.969531606424
2008-03-01,58735.0,2008,3,Total,0.8660254037844386,0.5000000000000001,158,0,1,0,0,46675.0,36913.0,42156.0,54722.0,41914.666666666664,4885.472580348091,49035.5,11742.213909650965
2008-04-01,38475.0,2008,4,Total,1.0,6.123233995736766e-17,159,0,1,0,0,58735.0,46675.0,36913.0,40942.0,47441.0,10931.14760672455,51232.666666666664,12185.058205304867
2008-05-01,30410.0,2008,5,Total,0.8660254037844387,-0.4999999999999998,160,0,1,0,0,38475.0,58735.0,46675.0,35854.0,47961.666666666664,10191.100692924841,45871.166666666664,8436.377431496707
2008-06-01,24349.0,2008,6,Total,0.49999999999999994,-0.8660254037844387,161,0,0,0,1,30410.0,38475.0,58735.0,31316.0,42540.0,14593.477138776752,42227.333333333336,9739.213493227602
2008-07-01,25427.0,2008,7,Total,1.2246467991473532e-16,-1.0,162,0,0,0,1,24349.0,30410.0,38475.0,35437.0,31078.0,7086.652030401901,39259.5,12174.094656277304
2008-08-01,40011.0,2008,8,Total,-0.4999999999999997,-0.8660254037844388,163,0,0,0,1,25427.0,24349.0,30410.0,44683.0,26728.666666666668,3233.370120065532,37345.166666666664,13452.783093719534
2008-09-01,41622.0,2008,9,Total,-0.8660254037844384,-0.5000000000000004,164,0,0,1,0,40011.0,25427.0,24349.0,45552.0,29929.0,8747.889116809802,36234.5,12787.07362534522
2008-10-01,66421.0,2008,10,Total,-1.0,-1.8369701987210297e-16,165,0,0,1,0,41622.0,40011.0,25427.0,70644.0,35686.666666666664,8921.569387351805,33382.333333333336,7635.309912941692
2008-11-01,52399.0,2008,11,Total,-0.8660254037844386,0.5000000000000001,166,0,0,1,0,66421.0,41622.0,40011.0,52273.0,49351.333333333336,14804.694199250902,38040.0,15664.89627160038
2008-12-01,38840.0,2008,12,Total,-0.5000000000000004,0.8660254037844384,167,0,0,0,0,52399.0,66421.0,41622.0,42156.0,53480.666666666664,12434.834230231356,41704.833333333336,16089.268702046917
2009-01-01,29278.0,2009,1,Total,0.0,1.0,168,0,0,0,0,38840.0,52399.0,66421.0,36913.0,52553.333333333336,13791.147680063954,44120.0,13901.84862527283
2009-02-01,40617.0,2009,2,Total,0.49999999999999994,0.8660254037844387,169,0,0,0,0,29278.0,38840.0,52399.0,46675.0,40172.333333333336,11617.93847174846,44761.833333333336,12920.464316992126
2009-03-01,49567.0,2009,3,Total,0.8660254037844386,0.5000000000000001,170,0,1,0,0,40617.0,29278.0,38840.0,58735.0,36245.0,6098.667805348926,44862.833333333336,12878.198715917797
2009-04-01,43337.0,2009,4,Total,1.0,6.123233995736766e-17,171,0,1,0,0,49567.0,40617.0,29278.0,38475.0,39820.666666666664,10167.914748527986,46187.0,12886.781522164496
2009-05-01,30037.0,2009,5,Total,0.8660254037844387,-0.4999999999999998,172,0,1,0,0,43337.0,49567.0,40617.0,30410.0,44507.0,4588.278544290847,42339.666666666664,8249.140456233397
2009-06-01,31749.0,2009,6,Total,0.49999999999999994,-0.8660254037844387,173,0,0,0,1,30037.0,43337.0,49567.0,24349.0,40980.333333333336,9976.002873562784,38612.666666666664,7836.629853876354
2009-07-01,30432.0,2009,7,Total,1.2246467991473532e-16,-1.0,174,0,0,0,1,31749.0,30037.0,43337.0,25427.0,35041.0,7235.360944693734,37430.833333333336,8315.548049687764
